                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 2.5538,                 2.7643,                 3.0608,                0.86117,                0.40668,                 0.2961,                0.26648,                0.12845,                0.34483,                0.27275,                0.24336,                0.11164,                 2.9291,                 3.7392,                 3.6547,                0.88651,               0.003169,               0.003169,               0.003169
                     71,                 2.4973,                 2.7857,                  2.947,                0.86011,                0.39554,                0.27202,                0.26194,                0.12808,                0.34238,                0.25839,                0.24332,                0.10834,                 2.9143,                 3.8444,                 3.6956,                0.88656,                0.00307,                0.00307,                0.00307
                     72,                 2.4867,                 2.7405,                 2.9587,                0.86419,                0.46655,                0.27785,                0.27786,                0.12775,                0.36316,                0.23645,                 0.2315,                0.11077,                 2.9265,                 3.7845,                 3.6405,                0.90082,               0.002971,               0.002971,               0.002971
                     73,                 2.5051,                 2.7726,                 2.9464,                0.85754,                0.39401,                0.28095,                 0.2735,                 0.1212,                0.34241,                0.27263,                0.25193,                0.10938,                 2.8956,                 3.6799,                 3.6659,                0.89714,               0.002872,               0.002872,               0.002872
                     74,                 2.4583,                  2.727,                 2.8885,                0.85577,                0.38316,                0.28489,                0.26093,                0.12357,                0.33423,                0.26371,                0.24366,                0.11119,                 2.8921,                  3.586,                 3.6616,                0.88925,               0.002773,               0.002773,               0.002773
                     75,                 2.4657,                 2.7361,                 2.9074,                0.85988,                0.38044,                0.27846,                0.26095,                0.12068,                0.34443,                0.27388,                0.25197,                0.10766,                 2.8829,                 3.6904,                 3.6781,                0.89462,               0.002674,               0.002674,               0.002674
                     76,                 2.4729,                  2.747,                 2.9048,                0.86232,                0.40127,                0.28837,                0.26581,                0.12667,                0.37218,                0.27972,                0.26313,                0.11645,                 2.8874,                 3.6342,                 3.6629,                0.89474,               0.002575,               0.002575,               0.002575
                     77,                   2.43,                 2.6635,                  2.865,                0.85639,                0.39162,                0.27742,                0.25138,                0.12136,                0.34395,                0.26342,                0.23309,                0.10586,                 2.8596,                 3.6835,                 3.6261,                0.89059,               0.002476,               0.002476,               0.002476
                     78,                 2.4215,                 2.6794,                 2.8239,                0.85686,                0.38911,                0.28247,                0.25925,                 0.1219,                0.34711,                0.26898,                0.24536,                0.11055,                 2.8549,                 3.5852,                 3.6543,                0.88904,               0.002377,               0.002377,               0.002377
                     79,                 2.4766,                 2.7475,                 2.9085,                 0.8581,                0.40367,                0.26729,                0.25035,                0.12205,                0.34921,                0.23786,                0.21785,                0.09976,                 2.8877,                  3.841,                 3.6626,                0.89161,               0.002278,               0.002278,               0.002278
                     80,                 2.4611,                 2.7827,                 2.8627,                0.85551,                0.37999,                0.28205,                0.24967,                0.12243,                0.31412,                0.26837,                0.22044,                0.10065,                 2.9084,                 3.7362,                  3.675,                0.89274,               0.002179,               0.002179,               0.002179
                     81,                 2.4667,                 2.6979,                 2.8856,                0.84951,                 0.3975,                0.29812,                0.27032,                 0.1244,                0.32327,                0.25461,                 0.2358,                0.10255,                 2.8709,                  3.758,                 3.6633,                0.88958,                0.00208,                0.00208,                0.00208
                     82,                 2.4344,                 2.6367,                 2.8641,                0.84757,                0.38838,                0.26938,                0.25459,                0.12418,                0.34517,                0.25044,                0.23757,                0.11221,                 2.9314,                 3.7825,                 3.8098,                 0.8886,               0.001981,               0.001981,               0.001981
                     83,                 2.4212,                 2.6517,                 2.8346,                0.84957,                 0.3851,                0.26787,                 0.2517,                 0.1173,                0.33098,                0.23349,                0.21784,                0.10249,                 2.8967,                 3.6843,                 3.7084,                0.89167,               0.001882,               0.001882,               0.001882
                     84,                 2.3731,                 2.6289,                 2.7832,                0.84706,                0.42516,                0.27682,                0.26165,                0.12289,                 0.3617,                0.25808,                0.23935,                0.10796,                  2.862,                 3.7396,                 3.7025,                0.88843,               0.001783,               0.001783,               0.001783
                     85,                 2.3377,                 2.5893,                 2.7168,                0.84994,                0.40805,                0.28614,                0.26374,                0.12055,                0.35868,                0.26626,                 0.2484,                0.10616,                 2.8666,                 3.6724,                 3.6704,                0.88625,               0.001684,               0.001684,               0.001684
                     86,                 2.3866,                 2.6782,                 2.7866,                0.85209,                0.43525,                0.29775,                0.28327,                0.12578,                0.35245,                0.27761,                0.25895,                0.10961,                 2.8623,                 3.6619,                 3.6739,                0.88766,               0.001585,               0.001585,               0.001585
                     87,                  2.406,                 2.6732,                 2.8017,                0.84729,                  0.393,                0.28791,                0.27025,                0.12892,                0.35853,                0.26893,                0.25124,                0.10791,                 2.8475,                 3.6297,                 3.6477,                0.88572,               0.001486,               0.001486,               0.001486
                     88,                 2.3685,                 2.6686,                 2.7823,                 0.8513,                0.37655,                0.27903,                0.26247,                0.12337,                0.33882,                0.25624,                0.23058,                0.10921,                 2.8593,                 3.6834,                  3.674,                0.89008,               0.001387,               0.001387,               0.001387
                     89,                 2.3483,                 2.5826,                 2.7568,                0.85016,                0.42981,                0.28467,                0.26508,                0.12826,                0.37093,                 0.2549,                 0.2364,                0.11223,                 2.8445,                 3.6492,                 3.6114,                0.88573,               0.001288,               0.001288,               0.001288
                     90,                 2.3452,                 2.6364,                 2.7195,                0.84964,                0.43001,                0.29299,                0.26555,                0.12396,                0.37359,                0.26015,                0.23396,                0.11094,                 2.8615,                  3.733,                 3.6487,                0.88619,               0.001189,               0.001189,               0.001189
                     91,                 2.3577,                 2.5997,                 2.7161,                0.84628,                0.43234,                0.28837,                0.27208,                0.12997,                0.38989,                 0.2596,                0.24841,                 0.1142,                 2.8436,                 3.7159,                 3.6712,                0.88605,                0.00109,                0.00109,                0.00109
                     92,                 2.3912,                 2.5816,                 2.7867,                0.84637,                0.41341,                 0.2742,                0.26774,                 0.1283,                0.38975,                0.25733,                0.25082,                0.11399,                 2.8368,                 3.7322,                 3.6359,                0.88672,               0.000991,               0.000991,               0.000991
