                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1347,                  1.875,                0.71313,                0.95567,                0.50519,                  0.474,                0.44535,                0.22878,                0.42427,                0.35107,                0.34364,                0.15207,                 2.2057,                 2.7904,                 2.1431,                 1.5457,              0.0004736,              0.0004736,              0.0004736
                     35,                 1.1308,                  1.934,                0.71334,                0.95949,                0.50575,                0.45378,                 0.4388,                0.22485,                0.46221,                0.33605,                0.34951,                0.15391,                 2.1758,                 2.7491,                 2.0976,                 1.5109,              0.0004728,              0.0004728,              0.0004728
                     36,                 1.1354,                  1.855,                0.72504,                0.95904,                 0.4897,                0.46616,                0.43957,                0.21886,                0.46437,                0.31578,                 0.3439,                0.15312,                  2.206,                 2.8062,                 2.1754,                 1.5108,               0.000472,               0.000472,               0.000472
                     37,                 1.1167,                 1.8224,                 0.7053,                0.94657,                0.51015,                0.45357,                0.43878,                0.22079,                0.39691,                0.34761,                0.32488,                0.14925,                 2.2168,                 2.7704,                 2.0726,                 1.5389,              0.0004712,              0.0004712,              0.0004712
                     38,                 1.1426,                 1.9202,                 0.7075,                0.95356,                0.50932,                0.44996,                0.43285,                0.22085,                0.42101,                0.37066,                 0.3477,                0.14662,                  2.209,                 2.8047,                 2.1038,                 1.5428,              0.0004704,              0.0004704,              0.0004704
                     39,                 1.1495,                 1.9275,                0.71947,                0.94831,                0.51972,                 0.4422,                0.43366,                0.22289,                0.44801,                0.34354,                0.34527,                0.15436,                 2.1986,                 2.8183,                 2.1622,                 1.5367,              0.0004696,              0.0004696,              0.0004696
                     40,                 1.1268,                 1.8693,                0.70564,                 0.9442,                0.51304,                0.43741,                0.43302,                0.22011,                0.40903,                0.36125,                 0.3411,                0.15182,                 2.2224,                  2.807,                 2.1332,                  1.556,              0.0004688,              0.0004688,              0.0004688
                     41,                 1.1356,                  1.848,                0.71419,                0.95098,                0.50935,                 0.4477,                0.43445,                0.22028,                0.41333,                0.36906,                0.35315,                0.15277,                 2.2331,                 2.8289,                 2.1616,                 1.5647,               0.000468,               0.000468,               0.000468
                     42,                 1.1394,                 1.8975,                0.71564,                0.94957,                0.50344,                0.43972,                0.44001,                0.22157,                0.40906,                0.34563,                0.34456,                  0.152,                 2.2287,                  2.827,                 2.1657,                 1.5694,              0.0004672,              0.0004672,              0.0004672
                     43,                 1.1175,                 1.8863,                0.70321,                0.95103,                 0.4729,                0.44724,                0.42591,                0.21475,                0.41227,                0.32674,                0.32985,                0.15149,                  2.245,                 2.8902,                 2.1807,                 1.5675,              0.0004664,              0.0004664,              0.0004664
                     44,                 1.1332,                 1.8628,                0.70535,                0.94901,                0.47607,                0.44129,                0.43719,                0.21561,                0.43348,                0.30097,                0.32817,                 0.1464,                 2.2661,                 2.8673,                 2.2674,                 1.5677,              0.0004656,              0.0004656,              0.0004656
                     45,                 1.1078,                 1.8172,                0.69097,                0.93876,                0.52089,                0.44878,                0.44361,                0.22246,                 0.3948,                0.35814,                0.34697,                0.15686,                 2.2197,                 2.8165,                 2.2271,                 1.5556,              0.0004648,              0.0004648,              0.0004648
                     46,                 1.1007,                 1.8262,                 0.6813,                0.94061,                0.50595,                 0.4478,                0.42502,                 0.2188,                0.41043,                0.36321,                0.34818,                0.15266,                  2.272,                 2.8296,                 2.2223,                 1.5798,               0.000464,               0.000464,               0.000464
                     47,                 1.0938,                 1.8667,                0.68368,                0.93224,                0.51221,                0.44075,                0.42501,                0.21936,                0.45911,                0.32077,                0.33866,                0.14661,                 2.1972,                 2.7946,                 2.2206,                 1.5462,              0.0004632,              0.0004632,              0.0004632
                     48,                  1.118,                 1.8422,                 0.6941,                0.94423,                0.52418,                 0.4268,                0.42559,                0.21883,                  0.458,                0.33183,                0.35209,                0.14985,                 2.2077,                 2.7825,                  2.247,                 1.5511,              0.0004624,              0.0004624,              0.0004624
                     49,                 1.1018,                 1.8281,                0.69309,                0.94106,                0.49075,                0.46503,                0.42704,                0.21759,                0.37832,                0.35585,                0.33549,                0.14841,                 2.2319,                 2.8262,                 2.1726,                 1.5746,              0.0004616,              0.0004616,              0.0004616
                     50,                  1.105,                 1.8438,                0.67907,                0.93827,                0.52727,                0.42531,                0.43442,                 0.2217,                0.45346,                0.33949,                0.35222,                0.15347,                 2.2485,                 2.8122,                 2.2433,                 1.5737,              0.0004608,              0.0004608,              0.0004608
                     51,                 1.1094,                 1.8617,                0.67795,                0.93882,                0.48927,                0.43397,                0.42602,                0.21807,                0.41843,                0.33126,                0.32889,                0.14913,                 2.2487,                  2.827,                 2.2667,                 1.5763,                0.00046,                0.00046,                0.00046
                     52,                 1.0864,                 1.8569,                0.68371,                 0.9428,                0.50278,                0.43451,                0.42271,                0.22247,                0.39081,                0.33919,                0.32947,                0.14983,                  2.249,                 2.8312,                  2.296,                 1.5777,              0.0004592,              0.0004592,              0.0004592
                     53,                 1.1077,                 1.8442,                0.67649,                0.93631,                0.48484,                0.45907,                0.43686,                0.22215,                0.41252,                0.34469,                0.32935,                0.15041,                  2.225,                 2.8395,                 2.2406,                 1.5578,              0.0004584,              0.0004584,              0.0004584
                     54,                 1.0906,                  1.841,                0.66944,                0.93608,                0.53838,                0.41633,                0.43533,                0.21929,                0.42773,                 0.3292,                0.33246,                0.15101,                 2.2191,                 2.8359,                 2.1991,                 1.5487,              0.0004576,              0.0004576,              0.0004576
                     55,                 1.0645,                 1.7777,                 0.6571,                 0.9301,                 0.5237,                 0.4423,                0.43065,                0.21473,                0.40309,                0.34243,                0.32766,                0.14354,                 2.2281,                  2.867,                 2.1952,                  1.588,              0.0004568,              0.0004568,              0.0004568
                     56,                 1.1045,                  1.859,                0.67487,                0.93742,                0.51192,                0.41812,                0.41353,                0.21483,                0.41714,                0.32796,                0.33917,                0.14802,                 2.2258,                 2.8249,                  2.177,                 1.5523,               0.000456,               0.000456,               0.000456
                     57,                 1.0825,                 1.8487,                0.67009,                0.93099,                0.54052,                0.40506,                0.42163,                0.21573,                0.44521,                0.33852,                0.34825,                0.15278,                 2.2286,                   2.82,                 2.1898,                  1.562,              0.0004552,              0.0004552,              0.0004552
                     58,                 1.0687,                  1.829,                0.65806,                0.93164,                0.49052,                0.44703,                0.42677,                0.21736,                0.40474,                0.35323,                0.33594,                0.15076,                 2.2299,                 2.7882,                 2.2191,                 1.5875,              0.0004544,              0.0004544,              0.0004544
                     59,                 1.0772,                  1.853,                0.67283,                0.92549,                 0.5165,                0.44369,                0.42711,                0.21889,                0.44937,                0.31223,                0.33224,                0.15373,                 2.2275,                 2.8001,                 2.2007,                 1.5652,              0.0004536,              0.0004536,              0.0004536
                     60,                 1.0788,                 1.8673,                0.66151,                0.92865,                0.48317,                0.46154,                0.43917,                0.22286,                0.38639,                0.35811,                0.33998,                 0.1506,                 2.2508,                 2.8377,                 2.2226,                 1.5623,              0.0004528,              0.0004528,              0.0004528
                     61,                 1.0935,                 1.8828,                0.67225,                 0.9383,                0.51075,                0.43655,                0.43216,                0.22528,                0.40725,                0.34546,                0.33692,                 0.1562,                 2.2552,                 2.8006,                 2.2549,                 1.5764,               0.000452,               0.000452,               0.000452
                     62,                 1.0853,                 1.8555,                0.66576,                 0.9372,                0.45836,                0.46349,                0.43034,                0.22417,                0.42829,                0.33291,                0.33854,                0.15032,                  2.226,                  2.771,                 2.1961,                 1.5668,              0.0004512,              0.0004512,              0.0004512
                     63,                 1.0703,                 1.8234,                0.64923,                0.92934,                0.47071,                0.46214,                0.42865,                0.21726,                0.39125,                0.36254,                0.34505,                0.15108,                 2.2495,                 2.8226,                  2.216,                 1.5652,              0.0004504,              0.0004504,              0.0004504
                     64,                  1.073,                 1.8264,                0.64905,                0.92996,                0.48477,                0.44683,                0.42376,                0.21596,                0.44409,                0.30724,                0.32609,                0.14521,                 2.2398,                 2.8554,                 2.2227,                 1.5721,              0.0004496,              0.0004496,              0.0004496
                     65,                  1.056,                 1.7921,                0.64182,                0.93638,                0.50476,                0.44475,                0.43863,                0.21852,                0.42136,                 0.3302,                0.32512,                0.14386,                 2.2415,                 2.8884,                 2.3374,                 1.5419,              0.0004488,              0.0004488,              0.0004488
                     66,                 1.0564,                 1.8443,                0.65109,                0.93339,                0.53506,                0.41895,                0.42481,                0.21504,                0.41325,                0.34037,                0.32672,                0.14177,                 2.2482,                 2.8699,                 2.3556,                 1.5734,               0.000448,               0.000448,               0.000448
                     67,                 1.0706,                 1.8166,                0.64478,                0.92244,                0.46218,                0.45024,                0.41554,                0.21139,                0.38899,                0.32657,                 0.3179,                0.13943,                 2.2667,                  2.862,                 2.2424,                 1.5969,              0.0004472,              0.0004472,              0.0004472
                     68,                 1.0778,                 1.8327,                0.65206,                0.93442,                0.50561,                 0.4532,                0.43771,                0.21922,                0.49703,                0.30313,                0.34329,                0.14482,                  2.247,                 2.8312,                 2.2685,                 1.6014,              0.0004464,              0.0004464,              0.0004464
                     69,                 1.0782,                 1.7931,                0.65184,                0.93419,                0.52312,                 0.4226,                0.42242,                0.21066,                0.39838,                0.32694,                0.32077,                0.14115,                 2.2651,                  2.876,                 2.2724,                 1.5902,              0.0004456,              0.0004456,              0.0004456
                     70,                 1.0487,                 1.8211,                0.63694,                0.92811,                0.52468,                0.41054,                0.41433,                0.21127,                0.43726,                0.33018,                0.33029,                0.14223,                 2.2745,                 2.8738,                 2.3155,                 1.6057,              0.0004448,              0.0004448,              0.0004448
                     71,                 1.0661,                 1.8553,                0.65891,                0.92573,                0.53305,                0.41376,                0.42031,                0.20693,                0.43039,                0.34634,                0.34112,                0.14815,                 2.2424,                 2.8894,                   2.32,                 1.5805,               0.000444,               0.000444,               0.000444
